TRANSACTION_DATE,DAY_NAME,DAY_CLASSIFICATION,MONTH_NAME,TIME_BUCKET,HOUR_OF_DAY,STORE_LOCATION,PRODUCT_CATEGORY,PRODUCT_DETAIL,PRODUCT_TYPE,NUMBER_OF_SALES,TOTAL_REVENUE
2023-02-01,Wed,Weekday,Feb,morning,11,Astoria,Drinking Chocolate,Sustainably Grown Organic Lg,Hot chocolate,1,4.75
2023-02-01,Wed,Weekday,Feb,afternoon,16,Hell's Kitchen,Coffee,Our Old Time Diner Blend Rg,Drip coffee,1,2.50
2023-02-01,Wed,Weekday,Feb,evening,17,Hell's Kitchen,Tea,Spicy Eye Opener Chai Lg,Brewed Chai tea,1,6.20
2023-02-01,Wed,Weekday,Feb,evening,18,Astoria,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee,1,2.00
2023-02-02,Thu,Weekday,Feb,morning,8,Lower Manhattan,Tea,Lemon Grass Rg,Brewed herbal tea,1,5.00
2023-02-02,Thu,Weekday,Feb,morning,10,Hell's Kitchen,Coffee,Cappuccino,Barista Espresso,1,7.50
2023-02-02,Thu,Weekday,Feb,afternoon,12,Lower Manhattan,Tea,Morning Sunrise Chai Lg,Brewed Chai tea,1,8.00
2023-02-02,Thu,Weekday,Feb,afternoon,12,Lower Manhattan,Tea,Traditional Blend Chai Rg,Brewed Chai tea,1,5.00
2023-02-02,Thu,Weekday,Feb,afternoon,15,Hell's Kitchen,Bakery,Cranberry Scone,Scone,1,3.25
2023-02-02,Thu,Weekday,Feb,afternoon,16,Lower Manhattan,Coffee,Ethiopia Rg,Gourmet brewed coffee,2,12.00
2023-02-02,Thu,Weekday,Feb,evening,17,Hell's Kitchen,Coffee,Columbian Medium Roast Lg,Gourmet brewed coffee,1,3.00
2023-02-02,Thu,Weekday,Feb,evening,18,Astoria,Tea,Spicy Eye Opener Chai Lg,Brewed Chai tea,1,3.10
2023-02-02,Thu,Weekday,Feb,evening,18,Hell's Kitchen,Tea,Traditional Blend Chai Lg,Brewed Chai tea,1,6.00
2023-02-03,Fri,Weekday,Feb,morning,7,Lower Manhattan,Tea,Peppermint Lg,Brewed herbal tea,1,3.00
2023-02-03,Fri,Weekday,Feb,afternoon,12,Lower Manhattan,Tea,Serenity Green Tea Rg,Brewed Green tea,1,5.00
2023-02-03,Fri,Weekday,Feb,afternoon,12,Lower Manhattan,Bakery,Ginger Biscotti,Biscotti,1,3.50
2023-02-03,Fri,Weekday,Feb,afternoon,12,Hell's Kitchen,Coffee,Latte Rg,Barista Espresso,1,4.25
2023-02-03,Fri,Weekday,Feb,afternoon,15,Lower Manhattan,Coffee,Columbian Medium Roast Rg,Gourmet brewed coffee,1,2.50
2023-02-03,Fri,Weekday,Feb,afternoon,15,Lower Manhattan,Drinking Chocolate,Dark chocolate Rg,Hot chocolate,1,3.50
2023-02-03,Fri,Weekday,Feb,evening,19,Hell's Kitchen,Tea,Peppermint Rg,Brewed herbal tea,1,2.50
2023-02-03,Fri,Weekday,Feb,evening,19,Astoria,Tea,Morning Sunrise Chai Rg,Brewed Chai tea,1,5.00
2023-02-04,Sat,Weekend,Feb,morning,9,Lower Manhattan,Coffee,Jamaican Coffee River Rg,Premium brewed coffee,1,3.10
2023-02-04,Sat,Weekend,Feb,afternoon,13,Astoria,Bakery,Cranberry Scone,Scone,1,3.25
2023-02-04,Sat,Weekend,Feb,afternoon,14,Hell's Kitchen,Coffee,Cappuccino,Barista Espresso,1,3.75
2023-02-04,Sat,Weekend,Feb,afternoon,14,Astoria,Tea,Peppermint Lg,Brewed herbal tea,1,6.00
2023-02-05,Sun,Weekend,Feb,morning,10,Lower Manhattan,Tea,Serenity Green Tea Rg,Brewed Green tea,1,5.00
2023-02-05,Sun,Weekend,Feb,afternoon,12,Astoria,Tea,Earl Grey Lg,Brewed Black tea,1,6.00
2023-02-05,Sun,Weekend,Feb,afternoon,14,Astoria,Tea,Traditional Blend Chai Rg,Brewed Chai tea,1,2.50
2023-02-05,Sun,Weekend,Feb,evening,18,Astoria,Bakery,Croissant,Pastry,1,3.50
2023-02-06,Mon,Weekday,Feb,morning,8,Lower Manhattan,Tea,Traditional Blend Chai Lg,Brewed Chai tea,1,3.00
2023-02-03,Fri,Weekday,Feb,afternoon,13,Astoria,Coffee,Ethiopia Sm,Gourmet brewed coffee,1,4.40
2023-02-05,Sun,Weekend,Feb,afternoon,12,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Lg,Hot chocolate,1,9.50
2023-02-05,Sun,Weekend,Feb,afternoon,16,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Lg,Hot chocolate,1,4.75
2023-02-05,Sun,Weekend,Feb,evening,18,Hell's Kitchen,Coffee,Ethiopia Rg,Gourmet brewed coffee,1,3.00
2023-02-06,Mon,Weekday,Feb,morning,7,Lower Manhattan,Coffee,Columbian Medium Roast Rg,Gourmet brewed coffee,1,5.00
2023-02-06,Mon,Weekday,Feb,afternoon,12,Lower Manhattan,Tea,Lemon Grass Rg,Brewed herbal tea,1,5.00
2023-02-06,Mon,Weekday,Feb,afternoon,13,Lower Manhattan,Coffee,Cappuccino Lg,Barista Espresso,1,8.50
2023-02-06,Mon,Weekday,Feb,afternoon,14,Hell's Kitchen,Tea,Earl Grey Lg,Brewed Black tea,1,3.00
2023-02-06,Mon,Weekday,Feb,afternoon,15,Lower Manhattan,Drinking Chocolate,Dark chocolate Lg,Hot chocolate,1,9.00
2023-02-06,Mon,Weekday,Feb,afternoon,16,Astoria,Coffee,Our Old Time Diner Blend Rg,Drip coffee,1,5.00
2023-02-06,Mon,Weekday,Feb,evening,18,Hell's Kitchen,Tea,Traditional Blend Chai Rg,Brewed Chai tea,1,5.00
2023-02-06,Mon,Weekday,Feb,evening,19,Astoria,Coffee,Jamaican Coffee River Sm,Premium brewed coffee,1,2.45
2023-02-07,Tue,Weekday,Feb,morning,8,Lower Manhattan,Coffee,Ethiopia Sm,Gourmet brewed coffee,1,2.20
2023-02-07,Tue,Weekday,Feb,morning,9,Astoria,Coffee,Brazilian Lg,Organic brewed coffee,1,7.00
2023-02-07,Tue,Weekday,Feb,morning,9,Lower Manhattan,Coffee,Our Old Time Diner Blend Lg,Drip coffee,1,6.00
2023-02-07,Tue,Weekday,Feb,morning,9,Lower Manhattan,Tea,English Breakfast Lg,Brewed Black tea,1,3.00
2023-02-07,Tue,Weekday,Feb,morning,9,Lower Manhattan,Tea,Serenity Green Tea Lg,Brewed Green tea,1,6.00
2023-02-07,Tue,Weekday,Feb,morning,10,Hell's Kitchen,Drinking Chocolate,Dark chocolate Rg,Hot chocolate,1,7.00
2023-02-07,Tue,Weekday,Feb,afternoon,16,Astoria,Tea,Spicy Eye Opener Chai Rg,Brewed Chai tea,1,5.10
2023-02-07,Tue,Weekday,Feb,evening,17,Hell's Kitchen,Tea,Serenity Green Tea Lg,Brewed Green tea,1,3.00
2023-02-07,Tue,Weekday,Feb,evening,19,Hell's Kitchen,Bakery,Ginger Biscotti,Biscotti,1,3.50
2023-02-08,Wed,Weekday,Feb,morning,7,Hell's Kitchen,Tea,English Breakfast Rg,Brewed Black tea,1,5.00
2023-02-08,Wed,Weekday,Feb,morning,8,Astoria,Drinking Chocolate,Dark chocolate Lg,Hot chocolate,1,4.50
2023-02-08,Wed,Weekday,Feb,morning,10,Hell's Kitchen,Coffee,Brazilian Rg,Organic brewed coffee,2,9.00
2023-02-08,Wed,Weekday,Feb,morning,11,Astoria,Tea,Spicy Eye Opener Chai Rg,Brewed Chai tea,1,5.10
2023-02-08,Wed,Weekday,Feb,afternoon,12,Astoria,Bakery,Jumbo Savory Scone,Scone,1,7.50
2023-02-08,Wed,Weekday,Feb,afternoon,12,Lower Manhattan,Coffee,Cappuccino Lg,Barista Espresso,1,8.50
2023-02-08,Wed,Weekday,Feb,evening,17,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Rg,Hot chocolate,1,3.75
2023-02-08,Wed,Weekday,Feb,evening,17,Lower Manhattan,Tea,Lemon Grass Rg,Brewed herbal tea,1,2.50
2023-02-08,Wed,Weekday,Feb,evening,17,Astoria,Tea,Serenity Green Tea Lg,Brewed Green tea,1,3.00
2023-02-08,Wed,Weekday,Feb,evening,18,Astoria,Coffee,Our Old Time Diner Blend Lg,Drip coffee,1,3.00
2023-02-09,Thu,Weekday,Feb,morning,9,Astoria,Tea,Traditional Blend Chai Lg,Brewed Chai tea,2,6.00
2023-02-09,Thu,Weekday,Feb,morning,11,Hell's Kitchen,Bakery,Hazelnut Biscotti,Biscotti,1,3.25
2023-02-09,Thu,Weekday,Feb,evening,17,Astoria,Tea,English Breakfast Lg,Brewed Black tea,1,6.00
2023-02-10,Fri,Weekday,Feb,morning,7,Lower Manhattan,Flavours,Hazelnut syrup,Regular syrup,1,0.80
2023-02-10,Fri,Weekday,Feb,morning,7,Hell's Kitchen,Coffee,Our Old Time Diner Blend Rg,Drip coffee,1,5.00
2023-02-10,Fri,Weekday,Feb,morning,7,Astoria,Coffee,Ethiopia Rg,Gourmet brewed coffee,1,6.00
2023-02-10,Fri,Weekday,Feb,morning,7,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Rg,Hot chocolate,1,7.50
2023-02-10,Fri,Weekday,Feb,morning,8,Lower Manhattan,Bakery,Scottish Cream Scone ,Scone,1,4.50
2023-02-10,Fri,Weekday,Feb,morning,9,Lower Manhattan,Tea,Serenity Green Tea Lg,Brewed Green tea,1,6.00
2023-02-10,Fri,Weekday,Feb,afternoon,13,Astoria,Coffee,Brazilian Sm,Organic brewed coffee,1,2.20
2023-02-10,Fri,Weekday,Feb,evening,19,Astoria,Drinking Chocolate,Sustainably Grown Organic Rg,Hot chocolate,1,7.50
2023-02-11,Sat,Weekend,Feb,morning,7,Lower Manhattan,Coffee,Brazilian Rg,Organic brewed coffee,1,3.00
2023-02-11,Sat,Weekend,Feb,morning,8,Astoria,Tea,Peppermint Rg,Brewed herbal tea,1,2.50
2023-02-11,Sat,Weekend,Feb,morning,8,Hell's Kitchen,Bakery,Almond Croissant,Pastry,1,3.75
2023-02-11,Sat,Weekend,Feb,morning,10,Lower Manhattan,Tea,Lemon Grass Rg,Brewed herbal tea,1,5.00
2023-02-11,Sat,Weekend,Feb,afternoon,15,Astoria,Tea,Lemon Grass Rg,Brewed herbal tea,1,2.50
2023-02-11,Sat,Weekend,Feb,evening,18,Astoria,Tea,Spicy Eye Opener Chai Lg,Brewed Chai tea,1,6.20
2023-02-12,Sun,Weekend,Feb,morning,9,Lower Manhattan,Bakery,Croissant,Pastry,1,3.50
2023-02-12,Sun,Weekend,Feb,morning,9,Hell's Kitchen,Coffee,Ethiopia Sm,Gourmet brewed coffee,1,4.40
2023-02-12,Sun,Weekend,Feb,afternoon,12,Hell's Kitchen,Tea,English Breakfast Lg,Brewed Black tea,1,6.00
2023-02-12,Sun,Weekend,Feb,afternoon,12,Hell's Kitchen,Tea,Serenity Green Tea Lg,Brewed Green tea,1,3.00
2023-02-12,Sun,Weekend,Feb,afternoon,14,Lower Manhattan,Drinking Chocolate,Dark chocolate Lg,Hot chocolate,1,4.50
2023-02-12,Sun,Weekend,Feb,afternoon,15,Astoria,Coffee,Our Old Time Diner Blend Sm,Drip coffee,1,2.00
2023-02-13,Mon,Weekday,Feb,morning,7,Astoria,Tea,English Breakfast Lg,Brewed Black tea,1,3.00
2023-02-09,Thu,Weekday,Feb,morning,7,Lower Manhattan,Loose Tea,English Breakfast,Black tea,1,8.95
2023-02-10,Fri,Weekday,Feb,morning,10,Astoria,Tea,English Breakfast Lg,Brewed Black tea,1,6.00
2023-02-12,Sun,Weekend,Feb,morning,9,Hell's Kitchen,Flavours,Carmel syrup,Regular syrup,1,1.60
2023-02-13,Mon,Weekday,Feb,afternoon,12,Lower Manhattan,Bakery,Scottish Cream Scone ,Scone,1,4.50
2023-02-13,Mon,Weekday,Feb,afternoon,13,Hell's Kitchen,Tea,Serenity Green Tea Rg,Brewed Green tea,1,5.00
2023-02-13,Mon,Weekday,Feb,afternoon,16,Lower Manhattan,Coffee,Jamaican Coffee River Lg,Premium brewed coffee,1,7.50
2023-02-13,Mon,Weekday,Feb,evening,17,Lower Manhattan,Coffee,Cappuccino,Barista Espresso,1,7.50
2023-02-13,Mon,Weekday,Feb,evening,17,Astoria,Bakery,Scottish Cream Scone ,Scone,1,4.50
2023-02-14,Tue,Weekday,Feb,morning,8,Astoria,Tea,Peppermint Rg,Brewed herbal tea,1,5.00
2023-02-14,Tue,Weekday,Feb,morning,8,Hell's Kitchen,Drinking Chocolate,Dark chocolate Lg,Hot chocolate,1,9.00
2023-02-14,Tue,Weekday,Feb,morning,8,Astoria,Coffee,Jamaican Coffee River Sm,Premium brewed coffee,1,2.45
2023-02-14,Tue,Weekday,Feb,morning,8,Astoria,Flavours,Carmel syrup,Regular syrup,1,1.60
2023-02-14,Tue,Weekday,Feb,morning,9,Astoria,Loose Tea,English Breakfast,Black tea,1,8.95
2023-02-14,Tue,Weekday,Feb,morning,9,Hell's Kitchen,Coffee,Columbian Medium Roast Lg,Gourmet brewed coffee,1,3.00
2023-02-14,Tue,Weekday,Feb,morning,11,Lower Manhattan,Coffee,Columbian Medium Roast Rg,Gourmet brewed coffee,1,5.00
2023-02-14,Tue,Weekday,Feb,afternoon,12,Lower Manhattan,Coffee,Ethiopia Lg,Gourmet brewed coffee,1,3.50
2023-02-14,Tue,Weekday,Feb,afternoon,13,Lower Manhattan,Loose Tea,English Breakfast,Black tea,1,8.95
2023-02-14,Tue,Weekday,Feb,evening,17,Lower Manhattan,Flavours,Carmel syrup,Regular syrup,1,0.80
2023-02-15,Wed,Weekday,Feb,morning,6,Lower Manhattan,Tea,Spicy Eye Opener Chai Lg,Brewed Chai tea,1,3.10
2023-02-15,Wed,Weekday,Feb,morning,7,Astoria,Tea,Traditional Blend Chai Lg,Brewed Chai tea,1,6.00
2023-02-15,Wed,Weekday,Feb,morning,7,Lower Manhattan,Tea,Earl Grey Rg,Brewed Black tea,1,2.50
2023-02-15,Wed,Weekday,Feb,morning,8,Hell's Kitchen,Drinking Chocolate,Dark chocolate Lg,Hot chocolate,1,9.00
2023-02-15,Wed,Weekday,Feb,morning,11,Hell's Kitchen,Flavours,Sugar Free Vanilla syrup,Sugar free syrup,1,0.80
2023-02-15,Wed,Weekday,Feb,morning,11,Lower Manhattan,Coffee,Our Old Time Diner Blend Sm,Drip coffee,1,4.00
2023-02-15,Wed,Weekday,Feb,evening,17,Hell's Kitchen,Loose Tea,Traditional Blend Chai,Chai tea,1,8.95
2023-02-15,Wed,Weekday,Feb,evening,18,Hell's Kitchen,Tea,Spicy Eye Opener Chai Lg,Brewed Chai tea,1,6.20
2023-02-15,Wed,Weekday,Feb,evening,18,Hell's Kitchen,Bakery,Ginger Scone,Scone,1,3.25
2023-02-16,Thu,Weekday,Feb,morning,7,Lower Manhattan,Coffee,Ethiopia Sm,Gourmet brewed coffee,1,2.20
2023-02-16,Thu,Weekday,Feb,morning,10,Hell's Kitchen,Coffee,Columbian Medium Roast Lg,Gourmet brewed coffee,1,6.00
2023-02-16,Thu,Weekday,Feb,morning,11,Hell's Kitchen,Coffee,Brazilian Lg,Organic brewed coffee,1,7.00
2023-02-16,Thu,Weekday,Feb,evening,17,Astoria,Tea,Spicy Eye Opener Chai Lg,Brewed Chai tea,1,6.20
2023-02-17,Fri,Weekday,Feb,morning,6,Hell's Kitchen,Bakery,Ginger Scone,Scone,1,3.25
2023-02-17,Fri,Weekday,Feb,morning,7,Lower Manhattan,Bakery,Hazelnut Biscotti,Biscotti,1,3.25
2023-02-17,Fri,Weekday,Feb,morning,10,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Lg,Hot chocolate,1,4.75
2023-02-17,Fri,Weekday,Feb,afternoon,16,Astoria,Flavours,Sugar Free Vanilla syrup,Sugar free syrup,1,1.60
2023-02-17,Fri,Weekday,Feb,afternoon,16,Astoria,Coffee,Ethiopia Sm,Gourmet brewed coffee,1,2.20
2023-02-18,Sat,Weekend,Feb,morning,8,Hell's Kitchen,Tea,Earl Grey Rg,Brewed Black tea,1,2.50
2023-02-18,Sat,Weekend,Feb,morning,8,Hell's Kitchen,Coffee,Ethiopia Sm,Gourmet brewed coffee,1,4.40
2023-02-18,Sat,Weekend,Feb,afternoon,12,Astoria,Coffee,Latte Rg,Barista Espresso,1,8.50
2023-02-18,Sat,Weekend,Feb,afternoon,14,Lower Manhattan,Tea,Morning Sunrise Chai Rg,Brewed Chai tea,1,2.50
2023-02-18,Sat,Weekend,Feb,afternoon,15,Lower Manhattan,Coffee,Cappuccino Lg,Barista Espresso,1,4.25
2023-02-18,Sat,Weekend,Feb,afternoon,15,Hell's Kitchen,Coffee,Ethiopia Rg,Gourmet brewed coffee,1,6.00
2023-02-18,Sat,Weekend,Feb,afternoon,16,Astoria,Coffee,Brazilian Rg,Organic brewed coffee,1,3.00
2023-02-18,Sat,Weekend,Feb,evening,18,Hell's Kitchen,Coffee,Cappuccino,Barista Espresso,1,7.50
2023-02-19,Sun,Weekend,Feb,morning,6,Lower Manhattan,Tea,Serenity Green Tea Rg,Brewed Green tea,1,2.50
2023-02-19,Sun,Weekend,Feb,morning,7,Lower Manhattan,Tea,Traditional Blend Chai Lg,Brewed Chai tea,1,6.00
2023-02-19,Sun,Weekend,Feb,morning,7,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Lg,Hot chocolate,1,9.50
2023-02-19,Sun,Weekend,Feb,morning,8,Astoria,Coffee beans,Espresso Roast,Espresso Beans,1,14.75
2023-02-19,Sun,Weekend,Feb,morning,9,Hell's Kitchen,Tea,Spicy Eye Opener Chai Lg,Brewed Chai tea,1,3.10
2023-02-19,Sun,Weekend,Feb,morning,10,Astoria,Tea,Spicy Eye Opener Chai Lg,Brewed Chai tea,1,6.20
2023-02-19,Sun,Weekend,Feb,morning,11,Astoria,Coffee,Our Old Time Diner Blend Sm,Drip coffee,1,2.00
2023-02-19,Sun,Weekend,Feb,afternoon,13,Astoria,Tea,Morning Sunrise Chai Lg,Brewed Chai tea,1,4.00
2023-02-19,Sun,Weekend,Feb,afternoon,15,Lower Manhattan,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee,1,2.00
2023-02-19,Sun,Weekend,Feb,afternoon,15,Lower Manhattan,Tea,Traditional Blend Chai Rg,Brewed Chai tea,1,5.00
2023-02-19,Sun,Weekend,Feb,afternoon,15,Lower Manhattan,Bakery,Chocolate Chip Biscotti,Biscotti,1,3.50
2023-02-19,Sun,Weekend,Feb,evening,17,Astoria,Tea,Serenity Green Tea Lg,Brewed Green tea,1,3.00
2023-02-20,Mon,Weekday,Feb,morning,10,Hell's Kitchen,Bakery,Chocolate Croissant,Pastry,1,3.75
2023-02-20,Mon,Weekday,Feb,morning,10,Astoria,Coffee,Cappuccino Lg,Barista Espresso,1,4.25
2023-02-20,Mon,Weekday,Feb,morning,10,Lower Manhattan,Tea,Morning Sunrise Chai Lg,Brewed Chai tea,1,4.00
2023-02-20,Mon,Weekday,Feb,morning,10,Astoria,Coffee beans,Primo Espresso Roast,Espresso Beans,1,20.45
2023-02-20,Mon,Weekday,Feb,afternoon,13,Astoria,Tea,Morning Sunrise Chai Lg,Brewed Chai tea,1,4.00
2023-02-20,Mon,Weekday,Feb,evening,18,Hell's Kitchen,Coffee,Ethiopia Lg,Gourmet brewed coffee,1,7.00
2023-02-21,Tue,Weekday,Feb,morning,7,Lower Manhattan,Tea,Spicy Eye Opener Chai Rg,Brewed Chai tea,1,7.65
2023-02-21,Tue,Weekday,Feb,morning,8,Astoria,Tea,Morning Sunrise Chai Lg,Brewed Chai tea,1,4.00
2023-02-21,Tue,Weekday,Feb,afternoon,14,Hell's Kitchen,Bakery,Hazelnut Biscotti,Biscotti,1,3.25
2023-02-21,Tue,Weekday,Feb,afternoon,16,Hell's Kitchen,Coffee,Cappuccino,Barista Espresso,1,7.50
2023-02-22,Wed,Weekday,Feb,morning,7,Hell's Kitchen,Coffee,Ethiopia Rg,Gourmet brewed coffee,1,3.00
2023-02-22,Wed,Weekday,Feb,morning,7,Astoria,Tea,Serenity Green Tea Lg,Brewed Green tea,2,9.00
2023-02-22,Wed,Weekday,Feb,morning,7,Hell's Kitchen,Bakery,Ginger Biscotti,Biscotti,1,3.50
2023-02-22,Wed,Weekday,Feb,afternoon,12,Astoria,Coffee,Ethiopia Lg,Gourmet brewed coffee,1,3.50
2023-02-22,Wed,Weekday,Feb,afternoon,13,Hell's Kitchen,Tea,Traditional Blend Chai Rg,Brewed Chai tea,1,2.50
2023-02-22,Wed,Weekday,Feb,afternoon,14,Astoria,Bakery,Hazelnut Biscotti,Biscotti,1,3.25
2023-02-23,Thu,Weekday,Feb,morning,10,Hell's Kitchen,Coffee,Cappuccino,Barista Espresso,2,11.25
2023-02-23,Thu,Weekday,Feb,afternoon,15,Hell's Kitchen,Coffee,Latte Rg,Barista Espresso,1,4.25
2023-02-24,Fri,Weekday,Feb,morning,8,Hell's Kitchen,Bakery,Croissant,Pastry,1,3.50
2023-02-24,Fri,Weekday,Feb,morning,9,Astoria,Coffee,Brazilian Sm,Organic brewed coffee,1,4.40
2023-02-24,Fri,Weekday,Feb,afternoon,13,Astoria,Coffee,Jamaican Coffee River Lg,Premium brewed coffee,1,7.50
2023-02-24,Fri,Weekday,Feb,evening,17,Astoria,Tea,Lemon Grass Lg,Brewed herbal tea,1,3.00
2023-02-24,Fri,Weekday,Feb,evening,18,Astoria,Tea,Morning Sunrise Chai Lg,Brewed Chai tea,1,8.00
2023-02-24,Fri,Weekday,Feb,evening,19,Astoria,Coffee,Espresso shot,Barista Espresso,1,6.00
2023-02-25,Sat,Weekend,Feb,morning,6,Lower Manhattan,Flavours,Sugar Free Vanilla syrup,Sugar free syrup,1,1.60
2023-02-25,Sat,Weekend,Feb,morning,7,Astoria,Bakery,Cranberry Scone,Scone,1,3.25
2023-02-25,Sat,Weekend,Feb,morning,8,Hell's Kitchen,Tea,Traditional Blend Chai Rg,Brewed Chai tea,1,5.00
2023-02-25,Sat,Weekend,Feb,morning,9,Lower Manhattan,Tea,Traditional Blend Chai Rg,Brewed Chai tea,1,2.50
2023-02-25,Sat,Weekend,Feb,morning,9,Hell's Kitchen,Tea,Lemon Grass Lg,Brewed herbal tea,1,6.00
2023-02-25,Sat,Weekend,Feb,morning,10,Astoria,Coffee,Brazilian Sm,Organic brewed coffee,1,4.40
2023-02-25,Sat,Weekend,Feb,afternoon,12,Hell's Kitchen,Tea,English Breakfast Lg,Brewed Black tea,1,3.00
2023-02-25,Sat,Weekend,Feb,afternoon,12,Lower Manhattan,Packaged Chocolate,Sustainably Grown Organic,Organic Chocolate,1,7.60
2023-02-25,Sat,Weekend,Feb,afternoon,13,Astoria,Tea,Peppermint Lg,Brewed herbal tea,1,6.00
2023-02-25,Sat,Weekend,Feb,afternoon,16,Hell's Kitchen,Tea,Earl Grey Lg,Brewed Black tea,1,6.00
2023-02-25,Sat,Weekend,Feb,afternoon,16,Astoria,Coffee,Espresso shot,Barista Espresso,1,6.00
2023-02-25,Sat,Weekend,Feb,evening,17,Hell's Kitchen,Coffee,Jamaican Coffee River Rg,Premium brewed coffee,1,3.10
2023-02-25,Sat,Weekend,Feb,evening,18,Hell's Kitchen,Coffee beans,Espresso Roast,Espresso Beans,1,14.75
2023-02-26,Sun,Weekend,Feb,morning,7,Astoria,Bakery,Hazelnut Biscotti,Biscotti,1,3.25
2023-02-26,Sun,Weekend,Feb,morning,7,Lower Manhattan,Coffee,Brazilian Rg,Organic brewed coffee,1,3.00
2023-02-26,Sun,Weekend,Feb,afternoon,12,Astoria,Tea,Earl Grey Rg,Brewed Black tea,1,5.00
2023-02-26,Sun,Weekend,Feb,afternoon,14,Hell's Kitchen,Coffee,Cappuccino,Barista Espresso,1,3.75
2023-02-03,Fri,Weekday,Feb,evening,19,Hell's Kitchen,Tea,Morning Sunrise Chai Lg,Brewed Chai tea,1,8.00
2023-02-26,Sun,Weekend,Feb,afternoon,16,Lower Manhattan,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee,1,2.00
2023-02-26,Sun,Weekend,Feb,evening,17,Astoria,Coffee,Brazilian Sm,Organic brewed coffee,1,2.20
2023-02-26,Sun,Weekend,Feb,evening,17,Astoria,Coffee,Jamaican Coffee River Lg,Premium brewed coffee,1,3.75
2023-02-26,Sun,Weekend,Feb,evening,17,Hell's Kitchen,Tea,Spicy Eye Opener Chai Rg,Brewed Chai tea,1,5.10
2023-02-27,Mon,Weekday,Feb,morning,7,Lower Manhattan,Tea,Peppermint Lg,Brewed herbal tea,1,6.00
2023-02-27,Mon,Weekday,Feb,morning,9,Lower Manhattan,Coffee,Latte,Barista Espresso,1,11.25
2023-02-27,Mon,Weekday,Feb,morning,11,Astoria,Coffee,Brazilian Sm,Organic brewed coffee,1,4.40
2023-02-27,Mon,Weekday,Feb,afternoon,14,Lower Manhattan,Bakery,Ginger Scone,Scone,1,3.25
2023-02-27,Mon,Weekday,Feb,evening,17,Lower Manhattan,Coffee,Brazilian Rg,Organic brewed coffee,1,3.00
2023-02-27,Mon,Weekday,Feb,evening,17,Astoria,Tea,Serenity Green Tea Rg,Brewed Green tea,1,5.00
2023-02-27,Mon,Weekday,Feb,evening,19,Hell's Kitchen,Coffee,Columbian Medium Roast Lg,Gourmet brewed coffee,1,3.00
2023-02-28,Tue,Weekday,Feb,morning,9,Lower Manhattan,Tea,Peppermint Lg,Brewed herbal tea,1,6.00
2023-02-28,Tue,Weekday,Feb,morning,9,Astoria,Coffee,Ethiopia Sm,Gourmet brewed coffee,1,4.40
2023-02-28,Tue,Weekday,Feb,morning,11,Hell's Kitchen,Coffee,Ouro Brasileiro shot,Barista Espresso,1,6.00
2023-02-28,Tue,Weekday,Feb,afternoon,12,Hell's Kitchen,Coffee,Ethiopia Lg,Gourmet brewed coffee,1,7.00
2023-02-28,Tue,Weekday,Feb,afternoon,13,Astoria,Coffee,Ethiopia Lg,Gourmet brewed coffee,1,3.50
2023-02-28,Tue,Weekday,Feb,afternoon,15,Hell's Kitchen,Tea,English Breakfast Rg,Brewed Black tea,1,5.00
2023-02-28,Tue,Weekday,Feb,afternoon,15,Astoria,Bakery,Ginger Biscotti,Biscotti,1,3.50
2023-02-28,Tue,Weekday,Feb,afternoon,16,Hell's Kitchen,Tea,Lemon Grass Rg,Brewed herbal tea,1,5.00
2023-02-28,Tue,Weekday,Feb,afternoon,16,Astoria,Tea,Spicy Eye Opener Chai Lg,Brewed Chai tea,1,3.10
2023-02-28,Tue,Weekday,Feb,evening,17,Hell's Kitchen,Coffee,Cappuccino,Barista Espresso,1,7.50
2023-03-01,Wed,Weekday,Mar,morning,8,Lower Manhattan,Bakery,Croissant,Pastry,1,3.50
2023-03-01,Wed,Weekday,Mar,morning,8,Lower Manhattan,Coffee,Brazilian Rg,Organic brewed coffee,1,3.00
2023-03-01,Wed,Weekday,Mar,morning,9,Lower Manhattan,Coffee,Jamaican Coffee River Lg,Premium brewed coffee,2,11.25
2023-03-01,Wed,Weekday,Mar,morning,11,Hell's Kitchen,Tea,Spicy Eye Opener Chai Lg,Brewed Chai tea,1,6.20
2023-03-01,Wed,Weekday,Mar,morning,11,Lower Manhattan,Tea,English Breakfast Rg,Brewed Black tea,1,5.00
2023-03-01,Wed,Weekday,Mar,afternoon,15,Lower Manhattan,Bakery,Hazelnut Biscotti,Biscotti,1,3.25
2023-03-01,Wed,Weekday,Mar,evening,17,Hell's Kitchen,Coffee,Our Old Time Diner Blend Sm,Drip coffee,1,2.00
2023-03-01,Wed,Weekday,Mar,evening,17,Astoria,Bakery,Chocolate Chip Biscotti,Biscotti,1,3.50
